id,contour_index,parent_contour_index,x,y,width,height,area,aspect_ratio,area_ratio,width_ratio,height_ratio,center_x,center_y,depth,children,siblings,edge_density,border_edge_density,horizontal_edge_density,vertical_edge_density,contour_density,dark_pixel_ratio,bright_pixel_ratio,interior_content_density,structural_type,structural_confidence
1,598,,43,501,1607,336,539952,4.782738,0.244034,0.837415,0.291414,0.441115,0.580225,0,0,79,0.009855,0.000626,0.006019,0.003582,4.8e-05,0.003641,0.988929,0.003946,UNKNOWN,0.4
2,1007,,107,171,1536,326,500736,4.711656,0.22631,0.800417,0.282741,0.455967,0.289679,0,0,79,0.042853,0.003709,0.03142,0.007277,0.000603,0.018894,0.903408,0.086831,UNKNOWN,0.4
3,584,,61,519,317,317,100489,1.0,0.045417,0.16519,0.274935,0.114382,0.587598,0,0,79,0.024958,0.012539,0.012499,0.012499,4e-05,0.012499,0.987501,0.0,CANVAS,0.86
4,1006,,0,172,40,646,25840,0.06192,0.011679,0.020844,0.560278,0.010422,0.429315,0,0,79,0.103599,0.026974,0.031734,0.05,0.002786,0.000348,0.872485,0.11189,TOOLBAR,0.89
5,1119,1116,10,87,484,40,19360,12.1,0.00875,0.252215,0.034692,0.131318,0.092801,1,16,0,0.162293,0.033264,0.073037,0.059091,0.004081,0.000465,0.830269,0.152199,UNKNOWN,0.4
6,539,,0,819,39,283,11037,0.137809,0.004988,0.020323,0.245447,0.010162,0.833044,0,0,79,0.096494,0.0,0.033524,0.030171,0.003534,0.000815,0.887832,0.121659,UNKNOWN,0.4
7,738,728,1236,213,302,23,6946,13.130435,0.003139,0.157374,0.019948,0.722772,0.194709,1,0,3,0.120069,0.050821,0.090412,0.02649,0.001872,0.0,0.923985,0.032144,UNKNOWN,0.4
8,1043,,1672,148,76,76,5776,1.0,0.00261,0.039604,0.065915,0.891089,0.161318,0,0,79,0.100416,0.051247,0.050554,0.050554,0.000693,0.050554,0.949446,0.0,UNKNOWN,0.4
9,879,785,821,173,165,33,5445,5.0,0.002461,0.085982,0.028621,0.470818,0.164354,1,0,12,0.052525,0.001102,0.031589,0.006612,0.001653,0.00404,0.913499,0.017348,UNKNOWN,0.4
10,888,785,655,173,165,33,5445,5.0,0.002461,0.085982,0.028621,0.384315,0.164354,1,2,12,0.087787,0.001102,0.033425,0.007897,0.005142,0.015794,0.877319,0.059542,UNKNOWN,0.4
11,1482,,860,23,132,40,5280,3.3,0.002386,0.068786,0.034692,0.482543,0.037294,0,0,79,0.152652,0.032386,0.049621,0.035795,0.002841,0.001705,0.86875,0.109592,UNKNOWN,0.4
12,864,785,987,173,149,33,4917,4.515152,0.002222,0.077645,0.028621,0.553153,0.164354,1,0,12,0.067114,0.00122,0.037828,0.009355,0.003051,0.009152,0.901363,0.030202,UNKNOWN,0.4
13,980,785,225,173,149,33,4917,4.515152,0.002222,0.077645,0.028621,0.156071,0.164354,1,0,12,0.063453,0.00122,0.035794,0.011592,0.002847,0.006305,0.90299,0.0283,UNKNOWN,0.4
